a	@
bushie	`bUSi:
bushman	`bUSm@n
bushranger	`bUSr\{IndZ@
bushwalk	`bUSwo:k
bushwhacker	`bUSw{k@
business	`bIzn@s
businesslike	`bIzn@slAek
busker	`b6sk@
bust	b6st
bustard	`b6st@d
bustle	`b6s@l
busy	`bIzi:
busybody	`bIzi:bOdi:
but	b6t
butane	`bj}:t{In
butch	bUtS
butcher	`bUtS@
butcherbird	`bUtS@b3:d
butler	b6tl@
butt	b6t
butter	`b6t@
buttocks	`b6t@ks
button	`b6t@n
buttress	`b6tr\@s
buy	bAe
buying	bAeIN
buzz	b6z
by	bAe
by-election	`bAe@lekS@n
by-law	`bAelo:
by-product	`bAepr\Od6kt
bye	bAe
BYO	bi:wAe`@}
bypass	`bAep6:s
bystander	`bAest{nd@
byte	bAet
byword	`bAew3:d
C	si:
c	si:
c/o	`ke:r\Ov
cab	k{b
cabbage	`k{bIdZ
cabin	`k{b@n
cabinet	`k{b@n@t
cable	`k{Ib@l
cackle	`k{k@l
cadet	k@`det
cadge	k{dZ
cafe	`k{f{I
café	k{f{I
cafeteria	k{f@`tI@r\i:@
cage	k{IdZ
cagey	`k{IdZi:
cake	k{Ik
calamari	k{l@`m6:r\i:
calamity	k@`l{m@ti:
calcium	`k{lsi:@m
calculate	`k{lkj@l{It
calculating	`k{lkj@l{ItIN
calculator	`k{lkj@l{It@
calendar	`k{l@nd@
calf	k6:f
call	ko:l
callgirl	`ko:lg3:l
callous	`k{l@s
calm	k6:m
calorie	`k{l@r\i:
came	k{Im
camel	k{m@l
camera	`k{mr\@
camouflage	`k{m@fl6:Z
camp	k{mp
campaign	k{m`p{In
campus	`k{mp@s
can	k{n
canal	k@`n{l
cancel	`k{ns@l
cancer	`k{ns@
candid	`k{nd@d
candidate	`k{nd@d{It
candle	`k{nd@l
candour	`k{nd@
cane	k{In
canine	`k{InAen
cannabis	`k{n@b@s
cannon	`k{n@n
cannot	`k{nOt
canoe	k@`n}:
canopy	`k{n@pi:
cant	k6:nt
canteen	k{n`ti:n
canter	`k{nt@
Cantonese	k{nt@`ni:z
canvas	`k{nv@s
canyon	`k{nj@n
cap	k{p
capable	`k{Ip@b@l
capacity	k@`p{s@ti:
cape	k{Ip
capital	`k{p@t@l
capitalise	`k{p@t@lAez
capitalism	`k{p@t@lIz@m
capsicum	`k{ps@k@m
capsize	k{p`sAez
capsule	`k{pS}:l
captain	`k{pt@n
caption	`k{pS@n
captivate	`k{pt@v{It
captive	`k{ptIv
captivity	k{p`tIv@ti:
capture	`k{ptS@
car	k6:
carafe	k@`r\6:f
caramel	`k{r\@m@l
carat	`k{r\@t
caravan	`k{r\@v{n
carbohydrate	k6:b@`hAedr\{It
carbon	`k6:b@n
carburettor	k6:bj@`r\et@
carcass	`k6:k@s
carcinogen	k6:`sIn@dZ@n
card	k6:d
cardboard	`k6:dbo:d
cardiac	`k6:di:{k
cardigan	`k6:dIg@n
care	ke:
career	k@`r\I@
careful	`ke:f@l
careless	`ke:l@s
caress	k@`r\es
caretaker	`ke:t{Ik@
cargo	`k6:g@}
caricature	`k{r\@k@tSU@
carnage	`k6:nIdZ
carnival	`k6:n@v@l
carol	`k{r\@l
carpenter	`k6:p@nt@
carpet	`k6:p@t
carriage	`k{r\IdZ
carry	`k{r\i:
cart	k6:t
cartilage	`k6:t@lIdZ
carton	`k6:t@n
cartoon	k6:`t}:n
cartridge	`k6:tr\IdZ
carts	k6:ts
carve	k6:v
case	k{Is
cash	k{S
cashier	k{`SI@
casino	k@`si:n@}
cask	k6:sk
casserole	`k{s@r\@}l
cassette	k@`set
cast	k6:st
caste	k6:st
castle	`k6:s@l
castor	`k6:st@
castrate	`k{str\{It
casual	`k{Z}:@l
casualty	`k{Z}:@lti:
casuarina	k{Zj@`r\i:n@
cat	k{t
catalogue	`k{t@lOg
catapult	`k{t@p6lt
cataract	`k{t@r\{kt
catarrh	k@`t6:
catastrophe	k@`t{str\@fi:
catch	k{tS
category	`k{t@g@r\i:
cater	`k{It@
caterpillar	k{t@pIl@
cathedral	k@`Ti:dr\@l
cattle	`k{t@l
caucus	`ko:k@s
caught	ko:t
cauliflower	`kOli:fl{O@
cause	ko:z
caused	ko:zd
causeway	`ko:zw{I
caustic	`kOstIk
cauterise	`ko:t@r\Aez
cautious	`ko:S@s
cavalry	`k{v@lr\i:
cave	k{Iv
cavern	`k{v@n
cavity	`k{v@ti:
CD	si:`di:
cease	si:s
ceasefire	`si:sfAe@
ceiling	`si:lIN
celebrate	`sel@br\{It
celebrated	`sel@br\{It@d
celebrity	s@`lebr\@ti:
celery	`sel@r\i:
celibacy	`sel@b@si:
cell	sel
cellar	`sel@
Celsius	`selsi:@s
cement	s@`ment
cemetery	`sem@tr\i:
censor	`sens@
censure	`senS@
census	`sens@s
cent	sent
centenary	sen`ten@r\i:
centigrade	`sent@gr\{Id
centimetre	`sent@mi:t@
central	`sentr\@l
centre	`sent@
century	`sentS@r\i:
ceramic	s@`r\{mIk
cereal	`sI@r\i:@l
cerebral	`ser\@br\@l
ceremony	`ser\@m@ni:
certain	`s3:t@n
certainly	`s3:t@nli:
certificate	s@`tIf@k@t
certify	`s3:t@fAe
cervix	`s3:vIks
CES	si:i:`es
chafe	tS{If
chain	tS{In
chainsaw	`tS{Inso:
chair	tSe:
chairman	`tSe:m@n
chairperson	`tSe:p3:s@n
chalk	tSo:k
challenge	`tS{l@ndZ
chamber	`tS{Imb@
chamois	`S{mi:
champion	`tS{mpi:@n
chance	tS{ns
change	tS{IndZ
changing	tS{IndZIN
channel	`tS{n@l
chant	tS{nt
chaos	`k{IOs
chap	tS{p
chapel	`tS{p@l
chapped	tS{pt
chapter	`tS{pt@
character	`k{r\@kt@
characteristic	k{r\@kt@`r\IstIk
charade	S@`r\6:d
charcoal	`tS6:k@}l
charge	tS6:dZ
charisma	k@`r\Izm@
charity	`tS{r\@ti:
Charles	tS6:lz
charm	tS6:m
chart	tS6:t
charter	`tS6:t@
chase	tS{Is
chassis	`S{zi:
chat	tS{t
chatter	`tS{t@
chauffeur	`S@}f@
chauvinism	`S@}v@nIz@m
cheap	tSi:p
cheat	tSi:t
check	tSek
check-up	`tSek6p
checkout	`tSek{Ot
cheek	tSi:k
cheer	tSI@
cheerful	`tSI@fUl
cheese	tSi:z
chef	Sef
chemical	`kemIk@l
chemist	`kem@st
chemistry	`kem@str\i:
chemotherapy	ki:m@}`Ter\@pi:
cheque	tSek
chequebook	`tSekbUk
cherish	`tSer\IS
cherub	`tSer\@b
chess	tSes
chest	tSest
chew	tS}:
chic	Si:k
chick	tSIk
chicken	`tSIk@n
chickenpox	`tSIk@npOks
chief	tSi:f
child	tSAeld
childish	`tSAeldIS
children	tSIldr\@n
chill	tSIl
chilli	`tSIli:
chime	tSAem
chimney	`tSImni:
chin	tSIn
china	`tSAen@
Chinese	`tSAeni:z
chip	tSIp
chipboard	`tSIpbo:d
chiropractor	`kAer\@pr\{kt@
chirp	tS3:p
chirpy	`tS3:pi:
chisel	`tSIz@l
chlorine	`klo:r\i:n
chocolate	`tSOkl@t
choice	tSoIs
choir	`kwAe@
choke	tS@}k
cholera	`kOl@r\@
cholesterol	k@`lest@r\Ol
chook	tSUk
choose	tS}:z
chop	tSOp
choppy	`tSOpi:
chopsticks	`tSOpstIks
chord	ko:d
chore	tSo:
choreographer	kOr\i:`Ogr\@f@
chorus	`ko:r\@s
chose	tS@}z
chosen	`tS@}z@n
chows	tS{Oz
christen	`kr\Is@n
Christianity	kr\IstSi:`{n@ti:
Christmas	`kr\Ism@s
chrome	kr\@}m
chronic	`kr\OnIk
chronological	kr\On@`lOdZIk@l
chubby	`tS6bi:
chuck	tS6k
chuckle	`tS6k@l
chunder	`tS6nd@
chunk	tS6Nk
church	tS3:tS
churn	tS3:n
chute	S}:t
chutney	`tS6tni:
cider	`sAed@
cigar	s@`g6:
cigarette	sIg@`r\et
cinema	`sIn@m@
circle	`s3:k@l
circled	s3:k@ld
circuit	`s3:k@t
circulate	`s3:kj@l{It
circulation	s3:kj@`l{IS@n
circumcise	`s3:k@msAez
circumference	s@`k6mf@r\@ns
circumstance	`s3:k@mst{ns
circus	`s3:k@s
citizen	`sIt@z@n
citrus	`sItr\@s
city	`sIti:
civic	`sIvIk
civil	`sIv@l
civilian	s@`vIlj@n
civilisation	sIv@lAe`z{IS@n
civilised	`sIv@lAezd
Cl.	kl@}s
claim	kl{Im
clairvoyant	kle:`voI@nt
clam	kl{m
clamber	`kl{mb@
clammy	`kl{mi:
clamour	`kl{m@
clamp	kl{mp
clan	kl{n
clandestine	`kl{nd@stAen
clang	kl{N
clanger	`kl{N@
clap	kl{p
clarify	`kl{r\@fAe
clarity	`kl{r\@ti:
clark	kl6:k
clash	kl{S
clasp	kl{sp
class	kl6:s
classic	`kl{sIk
classify	`kl{s@fAe
classroom	`kl6:sr\}:m
clatter	`kl{t@
clause	klo:z
claustrophobia	klOstr\@`f@}bi:@
claw	klo:
clay	kl{I
clean	kli:n
cleaning	kli:nIN
clear	klI@
clearance	`klI@r\@ns
clearing	`klI@r\IN
clearway	`klI@w{I
clench	klentS
clergy	`kl3:dZi:
clerk	kl6:k
clever	`klev@
cliche	`kli:S{I
click	klIk
client	`klAe@nt
cliff	klIf
climate	`klAem@t
climax	`klAem{ks
climb	klAem
clinch	klIntS
cling	klIN
clinic	`klInIk
clip	klIp
cloak	kl@}k
clock	klOk
clockwise	`klOkwAez
clockwork	`klOkw3:k
clog	klOg
clone	kl@}n
close	kl@}z
close-up	`kl@}s6p
closet	klOz@t
clot	klOt
cloth	klOT
clothe	kl@}D
clothes	kl@}Dz
clothing	`kl@}DIN
cloud	kl{Od
cloudy	`kl{Odi:
clout	kl{Ot
clover	`kl@}v@
clown	kl{On
club	kl6b
clucky	`kl6ki:
clue	kl}:
clump	kl6mp
clumsy	`kl6mzi:
clung	kl6N
cluster	`kl6st@
clutch	kl6tS
clutter	`kl6t@
cm	`sent@mi:t@
Co	`k6mp@ni:
coach	k@}tS
coagulate	k@}`{gj@l{It
coal	k@}l
coalition	k@}@`lIS@n
coarse	ko:s
coast	k@}st
coastline	`k@}stlAen
coat	k@}t
coathanger	`k@}th{N@
coating	`k@}tIN
coax	k@}ks
cobblestone	kOb@lst@}n
cobweb	`kObweb
cobwebs	kObwebz
cocaine	k@}`k{In
cock	kOk
cock-up	`kOk6p
cockatoo	kOk@`t}:
cockpit	`kOkpIt
cocktail	`kOkt{Il
cocky	`kOki:
cocoa	`k@}k@}
coconut	`k@}k@n6t
COD	si:@}`di:
code	k@}d
codeine	`k@}di:n
coerce	k@}`3:s
coffee	`kOfi:
coffin	`kOf@n
cog	kOg
coherent	k@}`hI@r\@nt
cohesion	k@}`hi:Z@n
coil	koIl
coin	koIn
coincide	k@}@n`sAed
coincidence	k@}`Ins@d@ns
coke	k@}k
Col	kOl
colander	`kOl@nd@
cold	k@}ld
cold-blooded	`k@}ldbl6d@d
coleslaw	`k@}lslo:
colic	`kOlIk
collaborate	k@`l{b@r\{It
collapse	k@`l{ps
collar	`kOl@
collarbone	`kOl@b@}n
collateral	k@`l{t@r\@l
colleague	`kOli:g
collect	k@`lekt
collective	k@`lektIv
collector	k@`lekt@
college	`kOlIdZ
collide	k@`lAed
cologne	k@`l@}n
colon	`k@}l@n
colonel	`k3:n@l
colony	`kOl@ni:
colossal	k@`lOs@l
colour	`k6l@
colt	k@}lt
column	`kOl@m
coma	`k@}m@
comb	k@}m
combat	`kOmb{t
combination	kOmb@`n{IS@n
combine	k@m`bAen
come	k6m
comedy	`kOm@di:
comet	`kOm@t
comfort	`k6mf@t
comfortable	`k6mft@b@l
comic	`kOmIk
comma	`kOm@
command	k@`m{nd
commando	k@`m{nd@}
commemorate	k@`mem@r\{It
commence	k@`mens
commend	k@`mend
comment	`kOment
commentary	`kOm@ntr\i:
commerce	`kOm3:s
commercial	k@`m3:S@l
commiserate	k@`mIz@r\{It
commission	k@`mIS@n
commissioner	k@`mIS@n@
commit	k@`mIt
commitment	k@`mItm@nt
committee	k@`mIti:
commodity	k@`mOd@ti:
common	`kOm@n
Commonwealth	`kOm@nwelT
commotion	k@`m@}S@n
communal	k@`mj}:n@l
commune	`kOmj}:n
communicate	k@`mj}:n@k{It
communication	k@`mj}:n@k{IS@n
communism	`kOmj@nIz@m
community	k@`mj}:n@ti:
commute	k@`mj}:t
compact	`kOmp{kt
companion	k@m`p{nj@n
company	`k6mp@ni:
comparative	k@m`p{r\@tIv
compare	k@m`pe:
comparison	k@m`p{r\@s@n
compartment	k@m`p6:tm@nt
compass	`k6mp@s
compassion	k@m`p{S@n
compatible	k@m`p{t@b@l
compel	k@m`pel
compelling	k@m`pelIN
compensate	`kOmp@ns{It
compere	`kOmpe:
compete	k@m`pi:t
competent	`kOmp@t@nt
competition	kOmp@`tIS@n
competitive	k@m`pet@tIv
compile	k@m`pAel
complacent	k@m`pl{Is@nt
complain	k@m`pl{In
complaint	k@m`pl{Int
complement	`kOmpl@m@nt
complete	k@m`pli:t
complex	`kOmpleks
complexion	k@m`plekS@n
complicated	`kOmpl@k{It@d
compliment	`kOmpl@m@nt
complimentary	kOmpl@`mentr\i:
comply	k@m`plAe
component	k@m`p@}n@nt
compose	k@m`p@}z
compost	`kOmpOst
compound	`kOmp{Ond
comprehend	kOmpr\@`hend
compress	k@m`pr\es
comprise	k@m`pr\Aez
compromise	`kOmpr\@mAez
compulsion	k@m`p6lS@n
compulsory	k@m`p6ls@r\i:
compute	k@m`pj}:t
computer	k@m`pj}:t@
comrade	`kOmr\{Id
con	kOn
concave	`kOnk{Iv
conceal	k@n`si:l
concede	k@n`si:d
conceit	k@n`si:t
conceited	k@n`si:t@d
conceivable	k@n`si:v@b@l
conceive	k@n`si:v
concentrate	`kOns@ntr\{It
concept	`kOnsept
conception	k@n`sepS@n
concern	k@n`s3:n
concerning	k@n`s3:nIN
concert	`kOns@t
concession	k@n`seS@n
conciliation	k@nsIli:`{IS@n
concise	k@n`sAes
conclude	k@N`kl}:d
concrete	`kONkr\i:t
concur	k@N`k3:
concurrent	k@N`k6r\@nt
concussion	k@N`k6S@n
condemn	k@n`dem
condensation	kOnd@n`s{IS@n
condense	k@n`dens
condescend	kOnd@`send
condition	k@n`dIS@n
conditioned	k@n`dIS@nd
condom	`kOndOm
condone	k@n`d@}n
conduct	k@n`d6kt
cone	k@}n
confectionery	k@n`fekS@nr\i:
confer	k@n`f3:
conference	kOnfr\@ns
confess	k@n`fes
confide	k@n`fAed
confidence	`kOnf@d@ns
confident	`kOnf@d@nt
confidential	kOnf@`denS@l
confine	k@n`fAen
confirm	k@n`f3:m
confiscate	`kOnf@sk{It
conflict	`kOnflIkt
conform	k@n`fo:m
confront	k@n`fr\6nt
confuse	k@n`fj}:z
congested	k@n`dZest@d
congratulate	k@n`gr\{tS@l{It
congregate	`kONgr\@g{It
congregation	kONgr\@`g{IS@n
congress	`kONgr\es
conjunction	k@n`dZ6NkS@n
conjunctivitis	k@ndZ6Nkt@`vAet@s
conjure	`k6ndZ@
connect	k@`nekt
conquer	`kONk@
conscience	`kOnS@ns
conscientious	kOnSi:`enS@s
conscious	`kOnS@s
conscript	`kOnskr\Ipt
consecutive	k@n`sekj@tIv
consent	k@n`sent
consequence	`kOns@kw@ns
conservation	kOns@`v{IS@n
conservative	k@n`s3:v@tIv
conserve	k@n`s3:v
consider	k@n`sId@
considerable	k@n`sIdr\@b@l
considerate	k@n`sId@r\@t
consideration	k@nsId@`r\{IS@n
considered	k@nsId@d
consist	k@n`sIst
consistency	k@n`sIst@nsi:
consistent	k@n`sIst@nt
consolation	kOns@`l{IS@n
console	k@n`s@}l
consonant	`kOns@n@nt
conspicuous	k@n`spIkj}:@s
conspiracy	k@n`spIr\@si:
constable	`k6nst@b@l
constant	`kOnst@nt
constellation	kOnst@`l{IS@n
consternation	kOnst@`n{IS@n
constipation	kOnst@`p{IS@n
constituency	k@n`stItj}:@nsi:
constitution	kOnst@`tj}:S@n
constrict	k@n`str\Ikt
construct	k@n`str\6kt
constructive	k@n`str\6ktIv
consul	`kOns@l
consult	k@n`s6lt
consultant	k@n`s6lt@nt
consume	k@n`sj}:m
consumer	k@n`sj}:m@
contact	`kOnt{kt
contagious	k@n`t{IdZ@s
contain	k@n`t{In
container	k@n`t{In@
contaminate	k@n`t{m@n{It
contemplate	`kOnt@mpl{It
contemporary	k@n`temp@r\i:
contempt	k@n`tempt
contend	k@n`tend
content	`kOntent
contest	`kOntest
context	`kOntekst
continent	`kOnt@n@nt
continual	k@n`tInj}:@l
continue	k@n`tInj}:
continuous	k@n`tInj}:@s
contour	`kOntU@
contraband	`kOntr\@b{nd
contraception	kOntr\@`sepS@n
contraceptive	kOntr\@`septIv
contract	`kOntr\{kt
contradict	kOntr\@`dIkt
contrary	`kOntr\e:r\i:
contrast	`kOntr\6:st
contribute	k@n`tr\Ibj}:t
control	k@n`tr\@}l
controversy	`kOntr\@v3:si:
convalescence	kOnv@`les@ns
convene	k@n`vi:n
convenience	k@n`vi:ni:@ns
convenient	k@n`vi:ni:@nt
convent	`kOnv@nt
convention	k@n`venS@n
conventional	k@n`venS@n@l
conversation	kOnv@`s{IS@n
converse	`kOnv3:s
convert	k@n`v3:t
convertible	k@n`v3:t@b@l
convex	`kOnveks
convey	k@n`v{I
convict	k@n`vIkt
conviction	k@n`vIkS@n
convince	k@n`vIns
convoy	`kOnvoI
cook	kUk
cool	k}:l
coolabah	`k}:l@b6:
coop	k}:p
cooperate	k@}`Op@r\{It
coordinate	k@}`o:d@n{It
cop	kOp
cope	k@}p
copper	`kOp@
copy	`kOpi:
copyright	`kOpi:r\Aet
coral	`kOr\@l
cord	ko:d
cordial	`ko:di:@l
corduroy	`ko:d@r\oI
core	ko:
cork	ko:k
corkscrew	`ko:kskr\}:
corn	ko:n
corner	`ko:n@
cornflakes	`ko:nfl{Iks
corny	`ko:ni:
coronary	`kOr\@nr\i:
coronation	kOr\@`n{IS@n
coroner	`kOr\@n@
corporal	`ko:pr\@l
corporation	ko:p@`r\{IS@n
corps	ko:
corpse	ko:ps
correct	k@`r\ekt
correspond	kOr\@`spOnd
corridor	`kOr\@do:
corroboree	k@`r\Ob@r\i:
corrode	k@`r\@}d
corrugated	`kOr\@g{It@d
corrupt	k@`r\6pt
cortisone	`ko:t@z@}n
cosmetic	kOz`metIk
cosmopolitan	kOzm@`pOl@t@n
cosmos	`kOzmOs
cossie	`kOzi:
cost	kOst
costume	`kOstj}:m
cosy	`k@}zi:
cot	kOt
cottage	`kOtIdZ
cotton	`kOt@n
couch	k{OtS
cough	kOf
could	kUd
couldn't	kUd@nt
council	`k{Ons@l
counsel	`k{Ons@l
count	k{Ont
counter	`k{Ont@
counterfeit	`k{Ont@fIt
country	`k6ntr\i:
coup	k}:
couple	`k6p@l
coupon	`k}:pOn
courage	`k6r\IdZ
courier	`kUr\i:@
course	ko:s
court	ko:t
courteous	`k3:ti:@s
courtyard	`ko:tj6:d
cousin	`k6z@n
cove	k@}v
covenant	`k6v@n@nt
cover	`k6v@
covet	`k6v@t
cow	k{O
coward	`k{O@d
coyote	kAe@}ti:
crab	kr\{b
crack	kr\{k
cracker	`kr\{k@
crackle	`kr\{k@l
crackling	`kr\{klIN
cradle	`kr\{Id@l
craft	kr\6:ft
crafty	`kr\6:fti:
crag	kr\{g
cram	kr\{m
cramp	kr\{mp
cramped	kr\{mpt
crane	kr\{In
crank	kr\{Nk
cranky	`kr\{Nki:
cranny	kr\{ni:
crash	kr\{S
crate	kr\{It
crater	`kr\{It@
crave	kr\{Iv
crawl	kr\o:l
crayfish	`kr\{IfIS
crayon	`kr\{IOn
craze	kr\{Iz
crazy	`kr\{Izi:
creak	kr\i:k
cream	kr\i:m
crease	kr\i:s
create	kr\i:`{It
creature	`kr\i:tS@
creche	kr\{IS
credible	`kr\ed@b@l
credit	`kr\ed@t
creek	kr\i:k
creep	kr\i:p
creeper	`kr\i:p@
cremate	kr\@`m{It
crematorium	kr\em@`to:r\i:@m
crepe	kr\{Ip
crest	kr\est
crevice	`kr\ev@s
crew	kr\}:
crib	kr\Ib
cricket	`kr\Ik@t
crime	kr\Aem
crimson	`kr\Imz@n
cringe	kr\IndZ
crinkle	`kr\INk@l
cripple	`kr\Ip@l
crisis	`kr\Aes@s
crisp	kr\Isp
critic	`kr\ItIk
critical	`kr\ItIk@l
croak	kr\@}k
Croatian	kr\@}`{IS@n
crockery	`kr\Ok@r\i:
crocodile	`kr\Ok@dAel
crook	kr\Uk
crooked	`kr\Uk@d
croon	kr\}:n
crop	kr\Op
Cross	kr\Os
cross	kr\Os
cross-examine	kr\Oseg`z{m@n
crossroads	`kr\Osr\@}dz
crossword	`kr\Osw3:d
crouch	kr\{OtS
croupier	`kr\}:pi:@
crow	kr\@}
crowbar	`kr\@}b6:
crowd	kr\{Od
crown	kr\{On
crucial	`kr\}:S@l
crucify	`kr\}:s@fAe
crude	kr\}:d
cruel	`kr\}:@l
cruise	kr\}:z
crumb	kr\6m
crumble	`kr\6mb@l
crummy	`kr\6mi:
crumpet	`kr\6mp@t
crumple	`kr\6mp@l
crunch	kr\6ntS
crusade	kr\}:`s{Id
crush	kr\6S
crust	kr\6st
crustacean	kr\6s`t{IS@n
crutch	kr\6tS
crux	kr\6ks
cry	kr\Ae
cryptic	`kr\IptIk
crystal	`kr\Ist@l
cub	k6b
cube	kj}:b
cubic	`kj}:bIk
cubicle	`kj}:bIk@l
cucumber	`kj}:k6mb@
cuddle	`k6d@l
cuddly	`k6dli:
cue	kj}:
cuff	k6f
cul-de-sac	`k6ld@s{k
culinary	`k6l@nr\i:
culminate	`k6lm@n{It
culprit	`k6lpr\@t
cult	k6lt
cultivate	`k6lt@v{It
culture	`k6ltS@
cumbersome	`k6mb@s@m
cumquat	`k6mkwOt
cunning	`k6nIN
cunt	k6nt
cup	k6p
cupboard	`k6b@d
curb	k3:b
curdle	`k3:d@l
cure	`kj}:@
curious	`kj}:r\i:@s
curl	k3:l
currant	`k6r\@nt
currawong	`k6r\@wON
currency	`k6r\@nsi:
current	`k6r\@nt
curriculum	k@`r\Ikj@l@m
curry	`k6r\i:
curse	k3:s
curt	k3:t
curtail	k3:`t{Il
curtain	`k3:t@n
curtsy	`k3:tsi:
curve	k3:v
cushion	`kUS@n
cushy	`kUSi:
custard	`k6st@d
custody	`k6st@di:
custom	`k6st@m
customary	`k6st@mr\i:
customer	`k6st@m@
customers	k6st@m@z
cut	k6t
cute	kj}:t
cuticle	`kj}:tIk@l
cutlery	`k6tl@r\i:
cutlet	`k6tl@t
CV	si:`vi:
cycle	`sAek@l
cyclone	`sAekl@}n
cylinder	`sIl@nd@
cynic	`sInIk
cynical	`sInIk@l
cyst	sIst
cystitis	sIs`tAet@s
Czech	tSek
D	di:
d	di:
dab	d{b
dabble	d{b@l
dad	d{d
dagger	`d{g@
daily	`d{Ili:
dainty	`d{Inti:
dairy	`de:r\i:
dais	`d{I@s
dam	d{m
damage	`d{mIdZ
damn	d{m
damned	d{md
damnedest	`d{md@st
damp	d{mp
dampen	`d{mp@n
damper	`d{mp@
dance	d{ns
dandruff	`d{ndr\6f
danger	`d{IndZ@
dangle	`d{Ng@l
dank	d{Nk
dapper	`d{p@
dappled	`d{p@ld
dare	de:
daredevil	`de:dev@l
dark	d6:k
darkroom	`d6:kr\}:m
darling	`d6:lIN
darn	d6:n
dart	d6:t
dash	d{S
dashboard	`d{Sbo:d
data	`d6:t@
database	`d{It@b{Is
date	d{It
dated	`d{It@d
daub	do:b
daughter	`do:t@
daughter-in-law	`do:t@r\Inlo:
daunt	do:nt
dawdle	`do:d@l
dawn	do:n
day	d{I
daybreak	`d{Ibr\{Ik
daydream	`d{Idr\i:m
daylight	`d{IlAet
daytime	`d{ItAem
daze	d{Iz
dazzle	`d{z@l
dead	ded
dead-end	`dedend
deaden	`ded@n
deadline	`dedlAen
deadlock	`dedlOk
deadly	`dedli:
deaf	def
deal	di:l
dealer	`di:l@
dealings	`di:lINz
dear	dI@
death	deT
debatable	d@`b{It@b@l
debate	d@`b{It
debit	`deb@t
debris	`debr\i:
debt	det
debug	di:`b6g
debut	`d{Ibj}:
decade	`dek{Id
decadent	`dek@d@nt
decaffeinated	di:`k{f@n{It@d
decapitate	di:`k{p@t{It
decathlon	d@`k{TlOn
decay	d@`k{I
deceased	d@`si:st
deceitful	d@`si:tfUl
deceive	d@`si:v
December	d@`semb@
decent	`di:s@nt
decentralise	di:`sentr\@lAez
deception	d@`sepS@n
deceptive	d@`septIv
decibel	`des@bel
decide	d@`sAed
decided	d@`sAed@d
deciduous	d@`sIdZ}:@s
decimal	`des@m@l
decimate	`des@m{It
decipher	d@`sAef@
decision	d@`sIZ@n
deck	dek
declare	d@`kle:
decline	d@`klAen
decode	di:`k@}d
decompose	di:k@m`p@}z
decongestant	di:k@n`dZest@nt
decor	`d{Iko:
decorate	`dek@r\{It
decoration	dek@`r\{IS@n
decorum	d@`ko:r\@m
decoy	`di:koI
decrease	d@`kr\i:s
decree	d@`kr\i:
decrepit	d@`kr\ep@t
decry	d@`kr\Ae
dedicate	`ded@k{It
deduce	d@`dj}:s
deduct	d@`d6kt
deduction	d@`d6kS@n
deed	di:d
deep	di:p
deer	dI@
deface	d@`f{Is
defamation	def@`m{IS@n
default	d@`fOlt
defeat	d@`fi:t
defecate	`def@k{It
defect	`di:fekt
defence	d@`fens
defend	d@`fend
defendant	d@`fend@nt
defensive	d@`fensIv
defer	d@`f3:
defiant	d@`fAe@nt
deficient	d@`fIS@nt
deficit	`def@s@t
define	d@`fAen
definite	`def@n@t
definitive	d@`fIn@tIv
deflate	d@`fl{It
deflation	d@`fl{IS@n
deflect	d@`flekt
defoliant	d@`f@}li:@nt
defoliate	d@`f@}li:{It
deform	d@`fo:m
defraud	d@`fr\o:d
defrost	di:`fr\Ost
deft	deft
defunct	d@`f6Nkt
defuse	d@`fj}:z
defy	d@`fAe
degenerate	d@`dZen@r\@t
degradation	degr\@`d{IS@n
degrade	d@`gr\{Id
degree	d@`gr\i:
dehydrate	`di:hAedr\{It
deign	d{In
deity	`d{I@ti:
dejected	d@`dZekt@d
delay	d@`l{I
delectable	d@`lekt@b@l
delegate	`del@g@t
delegation	del@`g{IS@n
delete	d@`li:t
deli	`deli:
deliberate	d@`lIb@r\@t
delicacy	`del@k@si:
delicate	`del@k@t
delicatessen	del@k@`tes@n
delicious	d@`lIS@s
delight	d@`lAet
delinquent	d@`lINkw@nt
delirious	d@`lI@r\i:@s
deliver	d@`lIv@
delta	`delt@
delude	d@`l}:d
deluge	`delj}:dZ
deluxe	d@`l6ks
delve	delv
demand	d@`m{nd
demanding	d@`m{ndIN
demean	d@`mi:n
demeanour	d@`mi:n@
demented	d@`ment@d
dementia	d@`menS@
demerit	di:`mer\@t
demise	d@`mAez
demister	di:`mIst@
demo	`dem@}
democracy	d@`mOkr\@si:
democrat	`dem@kr\{t
Democrats	`dem@kr\{ts
demolish	d@`mOlIS
demon	`di:m@n
demonstrate	`dem@nstr\{It
demonstration	dem@n`str\{IS@n
demonstrative	d@`mOnstr\@tIv
demoralise	d@`mOr\@lAez
demote	di:`m@}t
demure	d@`mjU@
den	den
denigrate	`den@gr\{It
denim	`den@m
denomination	d@`nOm@n{IS@n
denominator	d@`nOm@n{It@
denounce	d@`n{Ons
dense	dens
dent	dent
dental	`dent@l
dentist	`dent@st
denture	`dentS@
deny	d@`nAe
deodorant	di:`@}d@r\@nt
depart	d@`p6:t
departed	d@`p6:t@d
department	d@`p6:tm@nt
depend	d@`pend
dependant	d@`pend@nt
dependent	d@`pend@nt
depict	d@`pIkt
deplete	d@`pli:t
deplore	d@`plo:
deport	d@`po:t
deportment	d@`po:tm@nt
depose	d@`p@}z
deposit	d@`pOz@t
