'em	@ m
billhook	' b I l h - U k
billhooks	' b I l h - U k s
billiard-marker	' b I l - i@ d - m 6: k - @ r\
billiard-markers	' b I l - i@ d - m 6: k - @ z
billiard-player	' b I l - i@ d - p l {I - @ r\
billiard-players	' b I l - i@ d - p l {I - @ z
billiard-room	' b I l - i@ d - r\ }: m
billiard-rooms	' b I l - i@ d - r\ }: m z
billiard-table	' b I l - i@ d - t {I b l
billiard-tables	' b I l - i@ d - t {I b l z
billiards	' b I l - i@ d z
billies	' b I l - I z
billing	' b I l - I N
billingsgate	' b I l - I N z - g {I t
billion	' b I l - i@ N
billions	' b I l - i@ N z
billionth	' b I l - i@ n T
billionths	' b I l - i@ n T s
billow	' b I l - @}
billowed	' b I l - @} d
billowing	' b I l - @} - I N
billows	' b I l - @} z
billowy	' b I l - @} - i:
bills	' b I l z
billy	' b I l - i:
billy-goat	' b I l - I - g @} t
billy-goats	' b I l - I - g @} t s
billy-ho	' b I l - I - h @}
billy-o	' b I l - I - @}
biltong	' b I l t - O N
bimetallic	' b Ae m - @ t - ' { l - I k
bimetallism	' b Ae m - ' e t - @ l - I z - @ m
bimonthly	' b Ae m - ' 6 n T - l i:
bin	' b I n
binary	' b Ae n - @ r\ - i:
bind	' b Ae n d
binder	' b Ae n d - @ r\
binderies	' b Ae n d - @ r\ - I z
binders	' b Ae n d - @ z
bindery	' b Ae n d - @ r\ - i:
binding	' b Ae n d - I N
binds	' b Ae n d z
bindweed	' b Ae n d - w i: d
bine	' b Ae n
bines	' b Ae n z
binge	' b I n dZ
binges	' b I n dZ - I z
bingo	' b I N g - @}
binnacle	' b I n - @ k l
binnacles	' b I n - @ k l z
binoculars	' b I n - ' O k - j U l - @ z
binomial	' b Ae n - ' @} m - i@ l
bins	' b I n z
biochemist	' b Ae - @} k - ' e m - @ s t
biochemistry	' b Ae - @} k - ' e m - I s - t r\ i:
biodegradable	' b Ae - @} d - I g - ' r\ {I d - @ b l
biograph	' b Ae - @ g - r\ 6: f
biographer	' b Ae - ' O g - r\ @ f - @ r\
biographers	' b Ae - ' O g - r\ @ f - @ z
biographic	' b Ae - @ g - ' r\ { f - I k
biographical	' b Ae - @ g - ' r\ { f - I k l
biographies	' b Ae - ' O g - r\ @ f - I z
biographs	' b Ae - @ g - r\ 6: f s
biography	' b Ae - ' O g - r\ @ f - i:
biological	' b Ae - @ l - ' O dZ - I k l
biologically	' b Ae - @ l - ' O dZ - I k - l i:
biologist	' b Ae - ' O l - @ dZ - I s t
biologists	' b Ae - ' O l - @ dZ - I s t s
biology	' b Ae - ' O l - @ dZ - i:
biomedical	' b Ae - @} m - ' e d - I k - @ l
bioscope	' b Ae - @ s - k @} p
bioscopes	' b Ae - @ s - k @} p s
biotechnology	' b Ae - @} t - ' e k - ' n O l - @ dZ - i:
bipartisan	' b Ae p - 6: t - I z - ' { n
bipartisanship	b Ae p - ' 6: t - @ s - @ n S - I p
biped	' b Ae p - e d
bipeds	' b Ae p - e d z
biplane	' b Ae p - l {I n
biplanes	' b Ae p - l {I n z
birch	' b @@ tS
birch-rod	' b @@ tS - r\ O d
birch-rods	' b @@ tS - r\ O d z
birched	' b @@ tS t
birches	' b @@ tS - I z
birching	' b @@ tS - I N
bird	' b @@ d
bird's-eye	' b @@ d z - {I
bird-fancier	' b @@ d - f { n s - i@ r\
bird-fanciers	' b @@ d - f { n s - i@ z
birdcage	' b @@ d k - {I dZ
birdcages	' b @@ d k - {I dZ - I z
birdlime	' b @@ d - l Ae m
birdlimes	' b @@ d - l Ae m z
birdnesting	' b @@ d - n e s - t I N
birds	' b @@ d z
birdwatcher	' b @@ d - w O tS - @ r\
birdwatchers	' b @@ d - w O tS - @ z
biretta	' b I r\ - ' e t - @
birettas	' b I r\ - ' e t - @ z
biro	' b Ae - @ r\ - @}
biros	' b Ae - @ r\ - @} z
birth	' b @@ T
birth-control	' b @@ T - k @ n t - r\ @} l
birthday	' b @@ T - d {I
birthdays	' b @@ T - d {I z
birthmark	' b @@ T - m 6: k
birthmarks	' b @@ T - m 6: k s
birthplace	' b @@ T - p l {I s
birthplaces	' b @@ T - p l {I s - I z
birthrate	' b @@ T - r\ {I t
birthrates	' b @@ T - r\ {I t s
birthright	' b @@ T - r\ Ae t
birthrights	' b @@ T - r\ Ae t s
births	' b @@ T s
biscuit	' b I s - k I t
biscuits	' b I s - k I t s
bisect	' b Ae s - ' e k t
bisected	' b Ae s - ' e k - t I d
bisecting	' b Ae s - ' e k - t I N
bisection	' b Ae s - ' e k - S @ n
bisects	' b Ae s - ' e k t s
bisexual	' b Ae s - ' e k - S u@ l
bisexuality	' b Ae s - e k - S U - ' { l - I t - i:
bisexuals	' b Ae s - ' e k - S u@ l z
bishop	' b I S - @ p
bishopric	' b I S - @ p - r\ I k
bishoprics	' b I S - @ p - r\ I k s
bishops	' b I S - @ p s
bismuth	' b I z - m @ T
bison	' b Ae s n
bistro	' b i: s - t r\ @}
bistros	' b i: s - t r\ @} z
bit	' b I t
bitch	' b I tS
bitched	' b I tS t
bitches	' b I tS - I z
bitchier	' b I tS - i@ r\
bitchiest	' b I tS - I - I s t
bitching	' b I tS - I N
bitchy	' b I tS - i:
bite	' b Ae t
bites	' b Ae t s
biting	' b Ae t - I N
bitingly	' b Ae t - I N - l i:
bits	' b I t s
bitten	' b I t n
bitter	' b I t - @ r\
bitter-sweet	' b I t - @ - ' s w i: t
bitterly	' b I t - @ l - i:
bittern	' b I t - @ n
bitterness	' b I t - @ n - @ s
bitterns	' b I t - @ n z
bitters	' b I t - @ z
bitumen	' b I t - j U m - @ n
bituminous	' b I t - ' j }: m - I n - @ s
bivalve	' b Ae v - { l v
bivalves	' b Ae v - { l v z
bivouac	' b I v - U - { k
bivouacked	' b I v - U - { k t
bivouacking	' b I v - U - { k - I N
bivouacs	' b I v - U - { k s
biz	' b I z
bizarre	' b I z - ' 6: r\
bizonal	' b Ae z - ' @} n l
blab	' b l { b
blabbed	' b l { b d
blabber	' b l { b - @ r\
blabbered	' b l { b - @ d
blabbering	' b l { b - @ r\ - I N
blabbermouth	' b l { b - @ m - au T
blabbermouths	' b l { b - @ m - au D z
blabbers	' b l { b - @ z
blabbing	' b l { b - I N
blabs	' b l { b z
black	' b l { k
black-beetle	' b l { k - b i: t l
black-beetles	' b l { k - b i: t l z
black-lead	' b l { k - l e d
black-leaded	' b l { k - l e d - I d
black-leading	' b l { k - l e d - I N
black-leads	' b l { k - l e d z
blackamoor	' b l { k - @ m - o: r\
blackamoors	' b l { k - @ m - o: z
blackball	' b l { k - b o: l
blackballed	' b l { k - b o: l d
blackballing	' b l { k - b o: l - I N
blackballs	' b l { k - b o: l z
blackberries	' b l { k - b @ r\ - I z
blackberry	' b l { k - b @ r\ - i:
blackbird	' b l { k - b @@ d
blackbirds	' b l { k - b @@ d z
blackboard	' b l { k - b o: d
blackboards	' b l { k - b o: d z
blackcurrant	' b l { k - ' k 6 r\ - @ n t
blackcurrants	' b l { k - ' k 6 r\ - @ n t s
blacked	' b l { k t
blacken	' b l { k - @ n
blackened	' b l { k - @ n d
blackening	' b l { k - @ n - I N
blackens	' b l { k - @ n z
blacker	' b l { k - @ r\
blackest	' b l { k - I s t
blackguard	' b l { g - 6: d
blackguarded	' b l { g - 6: d - I d
blackguarding	' b l { g - 6: d - I N
blackguardly	' b l { g - @ d - l i:
blackguards	' b l { g - 6: d z
blackhead	' b l { k - h e d
blackheads	' b l { k - h e d z
blacking	' b l { k - I N
blackish	' b l { k - I S
blackleg	' b l { k - l e g
blacklegged	' b l { k - l e g d
blacklegging	' b l { k - l e g - I N
blacklegs	' b l { k - l e g z
blacklist	' b l { k - l I s t
blacklisted	' b l { k - l I s - t I d
blacklisting	' b l { k - l I s - t I N
blacklists	' b l { k - l I s t s
blackmail	' b l { k - m {I l
blackmailed	' b l { k - m {I l d
blackmailer	' b l { k - m {I l - @ r\
blackmailers	' b l { k - m {I l - @ z
blackmailing	' b l { k - m {I l - I N
blackmails	' b l { k - m {I l z
blackness	' b l { k - n I s
blackout	' b l { k - au t
blackouts	' b l { k - au t s
blacks	' b l { k s
blacksmith	' b l { k - s m I T
blacksmiths	' b l { k - s m I T s
blackthorn	' b l { k - T o: n
blackthorns	' b l { k - T o: n z
blackwater	' b l { k - w o: t - @ r\
bladder	' b l { d - @ r\
bladders	' b l { d - @ z
blade	' b l {I d
bladed	' b l {I d - @ d
blades	' b l {I d z
blaeberries	' b l {I b - @ r\ - I z
blaeberry	' b l {I b - @ r\ - i:
blah	' b l 6:
blame	' b l {I m
blamed	' b l {I m d
blameless	' b l {I m - l @ s
blamelessly	' b l {I m - l @ s - l i:
blames	' b l {I m z
blameworthy	' b l {I m w - @@ D - i:
blaming	' b l {I m - I N
blanch	' b l 6: n tS
blanched	' b l 6: n tS t
blanches	' b l 6: n tS - I z
blanching	' b l 6: n tS - I N
blancmange	' b l @ m - ' O n Z
blancmanges	' b l @ m - ' O n Z - I z
bland	' b l { n d
blander	' b l { n d - @ r\
blandest	' b l { n d - I s t
blandishment	' b l { n d - I S - m @ n t
blandishments	' b l { n d - I S - m @ n t s
blandly	' b l { n d - l i:
blandness	' b l { n d - n @ s
blank	' b l { N k
blanket	' b l { N k - I t
blanketed	' b l { N k - I t - I d
blanketing	' b l { N k - I t - I N
blankets	' b l { N k - I t s
blankly	' b l { N k - l i:
blanks	' b l { N k s
blare	' b l e@ r\
blared	' b l e@ d
blares	' b l e@ z
blaring	' b l e@ r\ - I N
blarney	' b l 6: n - i:
blas_e	' b l 6: z - {I
blaspheme	' b l { s - ' f i: m
blasphemed	' b l { s - ' f i: m d
blasphemer	' b l { s - ' f i: m - @ r\
blasphemers	' b l { s - ' f i: m - @ z
blasphemes	' b l { s - ' f i: m z
blasphemies	' b l { s - f @ m - I z
blaspheming	' b l { s - ' f i: m - I N
blasphemous	' b l { s - f @ m - @ s
blasphemously	' b l { s - f @ m - @ s - l i:
blasphemy	' b l { s - f @ m - i:
blast	' b l 6: s t
blast-furnace	' b l 6: s t - f @@ n - I s
blast-furnaces	' b l 6: s t - f @@ n - I s - I z
blast-off	' b l 6: s t - O f
blast-offs	' b l 6: s t - O f s
blasted	' b l 6: s - t I d
blasting	' b l 6: s - t I N
blasts	' b l 6: s t s
blatant	' b l {I t n t
blatantly	' b l {I t n t - l i:
blather	' b l { D - @ r\
blathered	' b l { D - @ d
blathering	' b l { D - @ r\ - I N
blathers	' b l { D - @ z
blaze	' b l {I z
blazed	' b l {I z d
blazer	' b l {I z - @ r\
blazers	' b l {I z - @ z
blazes	' b l {I z - I z
blazing	' b l {I z - I N
blazon	' b l {I z n
blazoned	' b l {I z n d
blazoning	' b l {I z - n I N
blazonries	' b l {I z - @ n r\ - I z
blazonry	' b l {I z - @ n r\ - i:
blazons	' b l {I z n z
bleach	' b l i: tS
bleached	' b l i: tS t
bleachers	' b l i: tS - @ z
bleaches	' b l i: tS - I z
bleaching	' b l i: tS - I N
bleaching-powder	' b l i: tS - I N - p au d - @ r\
bleaching-powders	' b l i: tS - I N - p au d - @ z
bleak	' b l i: k
bleaker	' b l i: k - @ r\
bleakest	' b l i: k - I s t
bleakly	' b l i: k - l i:
bleary	' b l i@ r\ - i:
bleary-eyed	' b l i@ r\ - I - ' Ae d
bleat	' b l i: t
bleated	' b l i: t - I d
bleating	' b l i: t - I N
bleats	' b l i: t s
bled	' b l e d
bleed	' b l i: d
bleeding	' b l i: d - I N
bleeds	' b l i: d z
bleep	' b l i: p
bleeped	' b l i: p t
bleeping	' b l i: p - I N
bleeps	' b l i: p s
blemish	' b l e m - I S
blemished	' b l e m - I S t
blemishes	' b l e m - I S - I z
blemishing	' b l e m - I S - I N
blench	' b l e n tS
blenched	' b l e n tS t
blenches	' b l e n tS - I z
blenching	' b l e n tS - I N
blend	' b l e n d
blended	' b l e n d - I d
blending	' b l e n d - I N
blends	' b l e n d z
blent	' b l e n t
bless	' b l e s
blessed	' b l e s t
blessedness	' b l e s - I d - n @ s
blesses	' b l e s - I z
blessing	' b l e s - I N
blessings	' b l e s - I N z
blest	' b l e s t
blether	' b l e D - @ r\
blethered	' b l e D - @ d
blethering	' b l e D - @ r\ - I N
blethers	' b l e D - @ z
blew	' b l }:
blight	' b l Ae t
blighted	' b l Ae t - I d
blighter	' b l Ae t - @ r\
blighters	' b l Ae t - @ z
blighting	' b l Ae t - I N
blights	' b l Ae t s
blimey	' b l Ae m - i:
blimp	' b l I m p
blimps	' b l I m p s
blind	' b l Ae n d
blinded	' b l Ae n d - I d
blinders	' b l Ae n d - @ z
blindfold	' b l Ae n d f - @} l d
blindfolded	' b l Ae n d f - @} l d - I d
blindfolding	' b l Ae n d f - @} l d - I N
blindfolds	' b l Ae n d f - @} l d z
blinding	' b l Ae n d - I N
blindly	' b l Ae n d - l i:
blindman's buff	' b l Ae n d - m { n z - ' b 6 f
blindness	' b l Ae n d - n @ s
blinds	' b l Ae n d z
blink	' b l I N k
blinked	' b l I N k t
blinkers	' b l I N k - @ z
blinking	' b l I N k - I N
blinks	' b l I N k s
blip	' b l I p
blips	' b l I p s
bliss	' b l I s
blissful	' b l I s - f @ l
blissfully	' b l I s - f @ l - i:
blister	' b l I s - t @ r\
blistered	' b l I s - t @ d
blistering	' b l I s - t @ r\ - I N
blisters	' b l I s - t @ z
blithe	' b l Ae D
blithely	' b l Ae D - l i:
blithering	' b l I D - @ r\ - I N
blithesome	' b l Ae D s - @ m
blitz	' b l I t s
blitzed	' b l I t s t
blitzes	' b l I t - s I z
blitzing	' b l I t - s I N
blizzard	' b l I z - @ d
blizzards	' b l I z - @ d z
bloated	' b l @} t - I d
bloater	' b l @} t - @ r\
bloaters	' b l @} t - @ z
blob	' b l O b
blobs	' b l O b z
bloc	' b l O k
block	' b l O k
blockade	' b l O k - ' {I d
blockade-runner	' b l O k - ' {I d - r\ 6 n - @ r\
blockade-runners	' b l O k - ' {I d - r\ 6 n - @ z
blockaded	' b l O k - ' {I d - I d
blockades	' b l O k - ' {I d z
blockading	' b l O k - ' {I d - I N
blockage	' b l O k - I dZ
blockages	' b l O k - I dZ - I z
blockbuster	' b l O k - b 6 s - t @ r\
blockbusters	' b l O k - b 6 s - t @ z
blocked	' b l O k t
blockhead	' b l O k - h e d
blockheads	' b l O k - h e d z
blockhouse	' b l O k - h au s
blockhouses	' b l O k - h au z - I z
blocking	' b l O k - I N
blocks	' b l O k s
blocs	' b l O k s
bloke	' b l @} k
blokes	' b l @} k s
blond	' b l O n d
blonde	' b l O n d
blonder	' b l O n d - @ r\
blondes	' b l O n d z
blondest	' b l O n d - I s t
blonds	' b l O n d z
blood	' b l 6 d
blood-bath	' b l 6 d - b 6: T
blood-baths	' b l 6 d - b 6: D z
blood-donor	' b l 6 d - d @} n - @ r\
blood-donors	' b l 6 d - d @} n - @ z
blood-group	' b l 6 d - g r\ }: p
blood-groups	' b l 6 d - g r\ }: p s
blood-heat	' b l 6 d - h i: t
blood-letting	' b l 6 d - l e t - I N
blood-lettings	' b l 6 d - l e t - I N z
blood-money	' b l 6 d - m 6 n - i:
blood-poisoning	' b l 6 d - p oI z - n I N
blood-pressure	' b l 6 d - p r\ e S - @ r\
blood-pressures	' b l 6 d - p r\ e S - @ z
blood-relation	' b l 6 d - r\ I l - ' {I S - @ n
blood-relations	' b l 6 d - r\ I l - ' {I S - @ n z
blood-sports	' b l 6 d - s p o: t s
blood-transfusion	' b l 6 d - t r\ { n s - ' f j }: Z n
blood-transfusions	' b l 6 d - t r\ { n s - ' f j }: Z n z
blood-type	' b l 6 d - t Ae p
blood-types	' b l 6 d - t Ae p s
blood-vessel	' b l 6 d - v e s l
blood-vessels	' b l 6 d - v e s l z
bloodcurdling	' b l 6 d k - @@ d - l I N
blooded	' b l 6 d - I d
bloodhound	' b l 6 d h - au n d
bloodhounds	' b l 6 d h - au n d z
bloodier	' b l 6 d - i@ r\
bloodiest	' b l 6 d - I - I s t
blooding	' b l 6 d - I N
bloodless	' b l 6 d - l @ s
bloodlessly	' b l 6 d - l @ s - l i:
bloodlust	' b l 6 d - l 6 s t
bloods	' b l 6 d z
bloodshed	' b l 6 d S - e d
bloodsheds	' b l 6 d S - e d z
bloodshot	' b l 6 d S - O t
bloodstain	' b l 6 d s - t {I n
bloodstained	' b l 6 d s - t {I n d
bloodstains	' b l 6 d s - t {I n z
bloodstock	' b l 6 d s - t O k
bloodstocks	' b l 6 d s - t O k s
bloodsucker	' b l 6 d s - 6 k - @ r\
bloodsuckers	' b l 6 d s - 6 k - @ z
bloodthirstiness	' b l 6 d T - @@ s - t I n - @ s
bloodthirsty	' b l U d T - @@ s - t i:
bloody	' b l 6 d - i:
bloody-minded	' b l 6 d - I - ' m Ae n d - I d
bloom	' b l }: m
bloomed	' b l }: m d
bloomer	' b l }: m - @ r\
bloomers	' b l }: m - @ z
blooming	' b l }: m - I N
blooms	' b l }: m z
blossom	' b l O s - @ m
blossomed	' b l O s - @ m d
blossoming	' b l O s - @ m - I N
blossoms	' b l O s - @ m z
blot	' b l O t
blotch	' b l O tS
blotches	' b l O tS - I z
blots	' b l O t s
blotted	' b l O t - I d
blotter	' b l O t - @ r\
blotters	' b l O t - @ z
blotting	' b l O t - I N
blotting-paper	' b l O t - I N - p {I p - @ r\
blotting-papers	' b l O t - I N - p {I p - @ z
blotto	' b l O t - @}
blouse	' b l au z
blouses	' b l au z - I z
blow	' b l @}
blow-dried	' b l @} - d r\ Ae d
blow-dries	' b l @} - d r\ Ae z
blow-dry	' b l @} - d r\ Ae
blow-drying	' b l @} - d r\ Ae - I N
blow-up	' b l @} - 6 p
blow-ups	' b l @} - 6 p s
blowback	' b l @} b - { k
blowbacks	' b l @} b - { k s
blowed	' b l @} d
blower	' b l @} - @ r\
blowers	' b l @} - @ z
blowflies	' b l @} f - l Ae z
blowfly	' b l @} f - l Ae
blowhole	' b l @} h - @} l
blowholes	' b l @} h - @} l z
blowing	' b l @} - I N
blowing-up	' b l @} - I N - ' 6 p
blowing-ups	' b l @} - I N - ' 6 p s
blowlamp	' b l @} l - { m p
blowlamps	' b l @} l - { m p s
blown	' b l @} n
blowout	' b l @} - au t
blowouts	' b l @} - au t s
blowpipe	' b l @} p - Ae p
blowpipes	' b l @} p - Ae p s
blows	' b l @} z
blowtorch	' b l @} t - o: tS
blowtorches	' b l @} t - o: tS - I z
blowzy	' b l au z - i:
blubber	' b l 6 b - @ r\
blubbered	' b l 6 b - @ d
blubbering	' b l 6 b - @ r\ - I N
blubbers	' b l 6 b - @ z
bludgeon	' b l 6 dZ - @ n
bludgeoned	' b l 6 dZ - @ n d
bludgeoning	' b l 6 dZ - @ n - I N
bludgeons	' b l 6 dZ - @ n z
blue	' b l }:
blue-collar	' b l }: - k O l - @ r\
blue-jacket	' b l }: - dZ { k - I t
blue-jackets	' b l }: - dZ { k - I t s
blue-pencil	' b l }: - ' p e n s - I l
blue-pencilled	' b l }: - ' p e n s - I l d
blue-pencilling	' b l }: - ' p e n s - I l - I N
blue-pencils	' b l }: - ' p e n s - I l z
bluebell	' b l }: b - e l
bluebells	' b l }: b - e l z
bluebottle	' b l }: b - O t l
bluebottles	' b l }: b - O t l z
blued	' b l }: d
blueprint	' b l }: p - r\ I n t
blueprints	' b l }: p - r\ I n t s
bluer	' b l }: - @ r\
blues	' b l }: z
bluest	' b l }: - I s t
bluestocking	' b l }: s - t O k - I N
bluestockings	' b l }: s - t O k - I N z
bluesy	' b l }: z - i:
bluff	' b l 6 f
bluffed	' b l 6 f t
bluffer	' b l 6 f - @ r\
bluffers	' b l 6 f - @ z
bluffing	' b l 6 f - I N
bluffly	' b l 6 f - l i:
bluffness	' b l 6 f - n @ s
bluffs	' b l 6 f s
bluing	' b l }: - I N
bluish	' b l }: - I S
blunder	' b l 6 n d - @ r\
blunderbuss	' b l 6 n d - @ b - 6 s
blunderbusses	' b l 6 n d - @ b - 6 s - I z
blundered	' b l 6 n d - @ d
blunderer	' b l 6 n d - @ r\ - @ r\
blunderers	' b l 6 n d - @ r\ - @ z
blundering	' b l 6 n d - @ r\ - I N
blunders	' b l 6 n d - @ z
blunt	' b l 6 n t
blunted	' b l 6 n t - I d
blunter	' b l 6 n t - @ r\
bluntest	' b l 6 n t - I s t
blunting	' b l 6 n t - I N
bluntly	' b l 6 n t - l i:
bluntness	' b l 6 n t - n @ s
blunts	' b l 6 n t s
blur	' b l @@ r\
blurb	' b l @@ b
blurbs	' b l @@ b z
blurred	' b l @@ d
blurring	' b l @@ r\ - I N
blurs	' b l @@ z
blurt	' b l @@ t
blurted	' b l @@ t - I d
blurting	' b l @@ t - I N
blurts	' b l @@ t s
blush	' b l 6 S
blushed	' b l 6 S t
blushes	' b l 6 S - I z
blushing	' b l 6 S - I N
blushingly	' b l 6 S - I N - l i:
bluster	' b l 6 s - t @ r\
blustered	' b l 6 s - t @ d
blustering	' b l 6 s - t @ r\ - I N
blusters	' b l 6 s - t @ z
blustery	' b l 6 s - t @ r\ - i:
bo	' b @}
bo'sn	' b @} s n
bo'sns	' b @} s n z
bo'sun	' b @} s n
bo'suns	' b @} s n z
boa	' b @} - @
boa-constrictor	' b @} - @ - k @ n s - ' t r\ I k - t @ r\
boa-constrictors	' b @} - @ - k @ n s - ' t r\ I k - t @ z
boar	' b o: r\
board	' b o: d
boarded	' b o: d - I d
boarder	' b o: d - @ r\
boarders	' b o: d - @ z
boarding	' b o: d - I N
boarding-card	' b o: d - I N - k 6: d
boarding-cards	' b o: d - I N - k 6: d z
boarding-house	' b o: d - I N - h au s
boarding-houses	' b o: d - I N - h au z - I z
boarding-school	' b o: d - I N - s k }: l
boarding-schools	' b o: d - I N - s k }: l z
boardroom	' b o: d - r\ }: m
boardrooms	' b o: d - r\ }: m z
boards	' b o: d z
boardwalk	' b o: d - w o: k
boardwalks	' b o: d - w o: k s
boars	' b o: z
boas	' b @} - @ z
boast	' b @} s t
boasted	' b @} s - t I d
boaster	' b @} s - t @ r\
boasters	' b @} s - t @ z
boastful	' b @} s - t f @ l
boastfully	' b @} s - t f @ l - i:
boasting	' b @} s - t I N
boasts	' b @} s t s
boat	' b @} t
boat-hook	' b @} t - h U k
boat-hooks	' b @} t - h U k s
boat-house	' b @} t - h au s
boat-houses	' b @} t - h au z - I z
boat-race	' b @} t - r\ {I s
boat-races	' b @} t - r\ {I s - I z
boat-train	' b @} t - t r\ {I n
boat-trains	' b @} t - t r\ {I n z
boated	' b @} t - I d
boater	' b @} t - @ r\
boaters	' b @} t - @ z
boating	' b @} t - I N
boatman	' b @} t - m @ n
boatmen	' b @} t - m @ n
boats	' b @} t s
boatswain	' b @} s n
boatswains	' b @} s n z
bob	' b O b
bobbed	' b O b d
bobbies	' b O b - I z
bobbin	' b O b - I n
bobbing	' b O b - I N
bobbins	' b O b - I n z
bobby	' b O b - i:
bobby-socks	' b O b - I - s O k s
bobby-sox	' b O b - I - s O k s
bobby-soxer	' b O b - I - s O k - s @ r\
bobby-soxers	' b O b - I - s O k - s @ z
bobolink	' b O b - @ l - I N k
bobolinks	' b O b - @ l - I N k s
bobs	' b O b z
bobsled	' b O b s - l e d
bobsleds	' b O b s - l e d z
bobsleigh	' b O b s - l {I
bobsleighs	' b O b s - l {I z
bobtail	' b O b t - {I l
bobtails	' b O b t - {I l z
bode	' b @} d
boded	' b @} d - I d
bodes	' b @} d z
bodice	' b O d - I s
bodices	' b O d - I s - I z
bodied	' b O d - I d
bodies	' b O d - I z
bodily	' b O d - @ l - i:
boding	' b @} d - I N
bodkin	' b O d k - I n
bodkins	' b O d k - I n z
body	' b O d - i:
body-servant	' b O d - I - s @@ v - @ n t
body-servants	' b O d - I - s @@ v - @ n t s
body-snatcher	' b O d - I - s n { tS - @ r\
body-snatchers	' b O d - I - s n { tS - @ z
bodyguard	' b O d - I g - 6: d
bodyguards	' b O d - I g - 6: d z
bodywork	' b O d - I w - @@ k
bodyworks	' b O d - I w - @@ k s
boffin	' b O f - I n
boffins	' b O f - I n z
bog	' b O g
bogey	' b @} g - i:
bogeyman	' b @} g - I m - { n
bogeymen	' b @} g - I m - e n
bogeys	' b @} g - I z
bogged	' b O g d
boggier	' b O g - i@ r\
boggiest	' b O g - I - I s t
bogging	' b O g - I N
boggle	' b O g l
boggled	' b O g l d
boggles	' b O g l z
boggling	' b O g - l I N
boggy	' b O g - i:
bogie	' b @} g - i:
bogies	' b @} g - I z
bogs	' b O g z
bogus	' b @} g - @ s
bogy	' b @} g - i:
boh	' b @}
bohemian	' b @} h - ' i: m - i@ n
bohemians	' b @} h - ' i: m - i@ n z
boil	' b oI l
boiled	' b oI l d
boiler	' b oI l - @ r\
boilers	' b oI l - @ z
boilersuit	' b oI l - @ s - }: t
boilersuits	' b oI l - @ s - }: t s
boiling	' b oI l - I N
boiling-point	' b oI l - I N - p oI n t
boiling-points	' b oI l - I N - p oI n t s
boils	' b oI l z
boisterous	' b oI s - t @ r\ - @ s
boisterously	' b oI s - t @ r\ - @ s - l i:
boisterousness	' b oI s - t @ r\ - @ s - n I s
bold	' b @} l d
bolder	' b @} l d - @ r\
boldest	' b @} l d - I s t
boldly	' b @} l d - l i:
boldness	' b @} l d - n @ s
bole	' b @} l
bolero	' b @ l - ' e@ r\ - @}
boleros	' b @ l - ' e@ r\ - @} z
boles	' b @} l z
boll	' b @} l
bollard	' b O l - @ d
bollards	' b O l - @ d z
bollock	' b O l - @ k
bollocks	' b O l - @ k s
bolls	' b @} l z
boloney	' b @ l - ' @} n - i:
bolshy	' b O l S - i:
bolster	' b @} l s - t @ r\
bolstered	' b @} l s - t @ d
bolstering	' b @} l s - t @ r\ - I N
bolsters	' b @} l s - t @ z
bolt	' b @} l t
bolt-hole	' b @} l t - h @} l
bolt-holes	' b @} l t - h @} l z
bolted	' b @} l t - I d
bolting	' b @} l t - I N
bolts	' b @} l t s
bomb	' b O m
bomb-proof	' b O m - p r\ }: f
bomb-sight	' b O m - s Ae t
bomb-sights	' b O m - s Ae t s
bomb-site	' b O m - s Ae t
bomb-sites	' b O m - s Ae t s
bombard	' b O m b - ' 6: d
bombarded	' b O m b - ' 6: d - I d
bombardier	' b O m b - @ d - ' i@ r\
bombardiers	' b O m b - @ d - ' i@ z
bombarding	' b O m b - ' 6: d - I N
bombardment	' b O m b - ' 6: d - m @ n t
bombardments	' b O m b - ' 6: d - m @ n t s
bombards	' b O m b - ' 6: d z
bombast	' b O m b - { s t
bombastic	' b O m b - ' { s - t I k
bombastically	' b O m b - ' { s - t I k - l i:
bombed	' b O m d
bomber	' b O m - @ r\
bombers	' b O m - @ z
bombing	' b O m - I N
bombings	' b O m - I N z
bombs	' b O m z
bombshell	' b O m S - e l
bombshells	' b O m S - e l z
bon mot	' b O n - ' m @}
bona fide	' b @} n - @ - ' f Ae d - i:
bona fides	' b @} n - @ - ' f Ae d - I z
bonanza	' b @ n - ' { n z - @
bonanzas	' b @ n - ' { n z - @ z
bonbon	' b O n b - O n
bonbons	' b O n b - O n z
bond	' b O n d
bond-	b O n d
bond-holder	' b O n d - h @} l d - @ r\
bond-holders	' b O n d - h @} l d - @ z
bondage	' b O n d - I dZ
bonded	' b O n d - I d
bonding	' b O n d - I N
bonds	' b O n d z
bone	' b @} n
bone-dry	' b @} n - ' d r\ Ae
bone-head	' b @} n - h e d
bone-heads	' b @} n - h e d z
bone-idle	' b @} n - ' Ae d l
bone-lazy	' b @} n - ' l {I z - i:
bone-setter	' b @} n - s e t - @ r\
bone-setters	' b @} n - s e t - @ z
boned	' b @} n d
boneless	' b @} n - l I s
bonemeal	' b @} n - m i: l
bonemeals	' b @} n - m i: l z
boner	' b @} n - @ r\
boners	' b @} n - @ z
bones	' b @} n z
boneshaker	' b @} n S - {I k - @ r\
boneshakers	' b @} n S - {I k - @ z
bonfire	' b O n f - Ae - @ r\
