AIDS	' {I d z
safely	' s {I - f l i:
safety	' s {I f - t i:
salmon	' s { - m @ n
satisfaction	' s { - t I s - f { k - S @ n
scenario	s @ - ' n 6: - r\ i: - @}
scientific	' s i: - @ n - t @ - f I k
seemingly	' s i: - m I N - l i:
selected	' s @ - l e k t - @ d
selection	' s @ - l e k - S @ n
self	' s { l f
seller	' s { - l @
sensitivity	' s e n - s @ - t I - v @ - t i:
sensor	' s e n - s @
separation	' s e - p @ - r\ {I - S @ n
seriously	' s e - r\ i: - @ - s l i:
settlement	' s e - t @ l - m @ n t
severely	 s @ - ' v e: - l i:
sexual	' s e k - S U l
sexuality	' s e k  - S U - { l - @ - t i:
sexually	' s e k - S U - l i:
shared	' S e: d
sharply	' S 6: p - l i:
shirt	' S 3: t
short	' S o: t
shorts	' S o: t s
shuttle	' S 6 - t @ l
sidewalk	' s Ae d - w o: k
significance	 s @ g - ' n I f - @ - k @ n s
significantly	 s @ g - ' n I f - @ - k @ n - t l i:
silent	' s Ae - l @ n t
similarity	 s I - m I - ' l { - r\ @ - t i:
similarly	 ' s I - m I - l @ - l i:
simultaneously	' s I - m O l - t {I - n i: - @ - s l i:
singer	' s I N - @
skilled	' s k I l d
slavery	' s l {I - v @ - r\ i:
slightly	' s l Ae - t l i:
so	' s @}
socially	' s @} - S l i:
soften	' s O f - t @ n
softly	' s O f t - l i:
software	' s O f t - w e:
someday	s 6 m - ' d {I
somewhat	' s 6 m - w O t
southeast	' s {O T - i: s t
southwest	' s {O T - w e s t
sovereignty	' s O v - r\ I n - t i:
specialize	' s p e S - @ - l Ae z
specialty	' s p e S - @ - { l - t i:
specifically	' s p e - s @ - f I k - l i:
speculation	' s p e k - j @ - l {I - S @ n
spokesman	' s p @} k s - m @ n
stability	s t @ - ' b I - l @ - t i:
stance	' s t 6: n s
starter	' s t 6: - t @
statistical	' s t {I - t I s - t I - k @ l
steadily	 's t e - d @ - l i:
stereotype	' s t e - r\ i: - @} - ' t Ae p
stimulus	' s t I - m j }: - l @ s
straighten	' s t r\ {I - t @ n
strengthen	' s t r\ e N - T @ n
strictly	' s t r\ I k - t l i:
strongly	' s t r\ O N - l i:
structural	' s t r\ 6 k - tS @ - r\ @ l
substantially	' s 6 b - s t { n - S l i:
suburban	 s @ - ' b 3: - b @ n
successful	 s @ k - ' s e s - f U l
successfully	s @ k - ' s e s - f l i:
suddenly	' s 6 - d @ n - l i:
suggestion	s @ - ' g e s - dZ @ n
supervisor	' s }: - p @ - v Ae - s @
supplier	s @ - ' p l i: - @
supporter	s @ - ' p o: - t @
supposedly	s @ - ' p @} - z @ d -  l i:
surprised	' s 3: - p r\ Ae z d
surprisingly	' s 3: - p r\ Ae - z I N - l i:
surveillance	 s 3: - ' v {I - l @ n s
survival	 s 3: - ' v Ae -  v @ l
survivor	 s 3: - ' v Ae - v @
sustainable	s @ s - ' t {I - n @ - b @ l
symbolic	' s I m - b @ - l I k
syndrome	' s I n - d r\ @} m
talented	' t { - l @ n - t @ d
taxpayer	' t { k s - p {I - @
teammate	' t i: m - m {I t
tech	' t e k
technological	' t e k - n O - l @ - dZ I - k @ l
teen	' t i: n
teenage	' t i: n - {I dZ
temple	' t e m p l
tendency	' t e n - d I n - s i:
tension	' t e n - S @ n
term	' t 3: m
terms	' t 3: m z
terrorist	' t e - r\ @ - r\ I s t
thanks	' T { N k s
theater	' T i: - @ - t @
theological	' T i: - O - l @ - dZ I - k @ l
theoretical	' T i: - o: - r\ @ - t I - k @ l
therapist	' T 3: - r\ @ - p I s t
third	' T 3: d
thirds	' T 3: d z
tighten	' t Ae - t @ n
tightly	' t Ae t - l i:
tolerance	' t O - l @ - r\ @ n s
totally	' t @} - t @ - l i:
touchdown	' t 6 tS - d {O n
toward	 t @ - ' w o: d
traditional	t r\ @ - ' d I - S @ n - @ l
traditionally	t r\ @ - ' d I - S n @ -  l i:
trainer	' t r\ {I - n @
transaction	 t r\ { n - ' s { k - S @ n
transformation	' t r\ { n s - f o: - ' m {I - S @ n
transit	' t r\ { n - s I t
transition	' t r\ { n - s @ - S @ n
translation	' t r\ { n - s l {I - S @ n
transmission	' t r\ { n s - m I - S @ n
transportation	' t r\ { n s - p o: - t {I - S @ n
trash	' t r\ { S
traveler	' t r\ { v - l @
treatment	' t r\ i: t - m @ n t
treaty	' t r\ i: - t i:
tribal	' t r\ Ae - b @ l
tribe	' t r\ Ae b
trigger	' t r\ I - g @
troubled	' t r\ 6 b - @ l d
truly	' t r\ }: - l i:
tumor	' t j }: - m @
turkey	' t 3: - k i:
two	' t w O
uh	' 6
ultimately	' O l - t @ - m {I t - l i:
unable	 6 n - ' {I - b @ l
uncertain	 6 n - ' s 3: - t I n
uncertainty	 6 n - ' s 3: - t I n - t i:
uncomfortable	 6 n - ' k O m f - t @ - b @ l
uncover	 6 n - ' k 6 - v @
undergraduate	 ' 6 n - d @ - ' g r\ { - dZ }: - @ t
undermine	' 6 n - d @ - m I n
unemployment	 6 n - n e m - ' p l oI - m @ n t
unexpected	 6 n - e k - ' s p e k - t @ d
unfair	 6 n - ' f I@
unhappy	 6 n - ' h { - p i:
unity	' j }: - n @ - t i:
unlike	 6 n - ' l Ae k
unlikely	 6 n - ' l Ae - k l i:
unprecedented	 6 n - ' p r\ e s - @ - d e n - t @ d
useful	 ' j ]: s - f U l
user	' j }: - z @
usually	' j }: - Z U  - l i:
utilize	' j }: - t I - l Ae z
validity	 v @ - ' l I d - @ - t i:
variable	 v e - ' r\ i: - @ - b @ l
variation	 v e - ' r\ i: - {I - S @ n
vendor	' v e n - d @
veteran	' v e - t @ - r\ @ n
violate	' v Ae - O - l {I t
violation	' v Ae - O - l {I - S @ n
violence	' v Ae - O - l @ n s
virtual	' v 3: - tS U l
virtually	' v 3: - tS U - l i:
visitor	' v I - z @ - t @
voter	' v @} - t @
warmth	' w o: m T
warrior	' w O - r\ i: - @
weaken	' w i: - k @ n
weakness	' w i: k - n @ s
well	' w { l
whale	' w {I l
widely	' w Ae d - l i:
willingness	' w I - l I N - n @ s
winner	' w I - n @
withdrawal	' w I T - d r\ o: w l
worker	' w 3: - k @
works	' w 3: k s
worried	' w 6 - r\ i: d
writer	' r\ Ae - t @
written	' r\ I - t @ n	
